,city,geometry,threshold,substd,zone,note
0,Singapore,"ee.Geometry.Rectangle([103.594, 1.1496, 104.0945001, 1.4784001])",0.25,0.5,a,
1,Bangkok,"ee.Geometry.Rectangle([100.3278136, 13.4940881, 100.938408, 13.955111])",0.26,0.5,a,
2,Jakarta,"ee.Geometry.Rectangle([106.686211, -6.3708331, 106.972825, -6.0886599])",0.16,0.5,a,
3,Lagos,"ee.Geometry.Rectangle([3.0982732, 6.3933511, 3.564808, 6.7027591])",0.17,0.5,a,
4,Kinshasa,"ee.Geometry.Rectangle([15.1760791, -4.5093664, 15.4694102, -4.2932411])",0.24,0.7,a,
5,Mumbai,"ee.Geometry.Rectangle([72.7758729, 18.8928676, 72.9864994, 19.2716339])",0.24,0.5,a,
6,Medellin,"ee.Geometry.Rectangle([-75.640916, 6.1755969, -75.521507, 6.31281])",0.2,1,a,
7,Ho Chi Minh,"ee.Geometry.Rectangle([106.3638784, 10.3493704, 107.0265769, 11.1602136])",0.26,1,a,
8,Dar es Salaam,"ee.Geometry.Rectangle([39.0268707, -6.9502833, 39.4817113, -6.5888991])",0.29,1,a,
9,Rio de Janeiro,"ee.Geometry.Rectangle([-43.7950599, -23.0822288, -43.0969042, -22.7460327])",0.25,1,a,
10,Tucson,"ee.Geometry.Rectangle([-111.059406, 31.9916539, -110.708204, 32.32016610000001])",0.13,0.5,b,
11,Cochabama,"ee.Geometry.Rectangle([-66.2222293, -17.4649046, -66.10552179999999, -17.3232136])",0.18,0.5,b,
12,Algiers,"ee.Geometry.Rectangle([2.9540449, 36.6572499, 3.3246169, 36.820787])",0.2,0.5,b,
13,Baghdad,"ee.Geometry.Polygon([[[44.29044682402281, 33.390524176347704],
                            [44.29044682402281, 33.23272187640611],
                            [44.48133427519468, 33.23272187640611],
                            [44.48133427519468, 33.390524176347704]]], None, False)",0.12,0,b,
14,Las Vegas,"ee.Geometry.Rectangle([-115.4, 35.95, -114.95, 36.3])",0.13,0,b,
15,Dubai,"ee.Geometry.Polygon([[[55.09694867662045, 25.26345454972468],
                            [55.09694867662045, 25.02352357770064],
                            [55.42653852037045, 25.02352357770064],
                            [55.42653852037045, 25.26345454972468]]], None, False)",0.09,0,b,
16,Lima,"ee.Geometry.Rectangle([-77.1872186, -12.2532891, -76.78833970000001, -11.7999875])",0.07,0,b,
17,Cairo,"ee.Geometry.Rectangle([31.2149558, 30.0083745, 31.3019729, 30.1106024])",0.12,0,b,
18,Marrakesh,"ee.Geometry.Rectangle([-8.1280804, 31.5529761, -7.887625799999999, 31.7162668])",0.12,0.5,b,
